::Date=2023_08_21::Hour=05_00_03 PM:::
::Type=Color::WebEdge=35.52::X=309.68::Y=451.10::Width=32.70::Height=32.70::Size=26.00::Image=Color4.bmp::Meters=1644.660::Lap=3354::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=235::Hour=06_14_19 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Color::WebEdge=35.52::X=451.33::Y=454.64::Width=32.70::Height=32.70::Size=13.54::Image=Color5.bmp::Meters=1644.660::Lap=3354::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=235::Hour=06_14_19 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Color::WebEdge=35.52::X=663.89::Y=435.93::Width=32.70::Height=32.70::Size=11.84::Image=Color6.bmp::Meters=1644.660::Lap=3354::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=236::Hour=06_14_19 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Color::WebEdge=35.52::X=727.92::Y=431.99::Width=32.70::Height=32.70::Size=11.68::Image=Color7.bmp::Meters=1644.660::Lap=3354::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=236::Hour=06_14_20 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=710.38::Y=431.99::Width=32.70::Height=32.70::Size=7.96::Image=Spot9.bmp::Meters=1644.660::Lap=3354::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=236::Hour=06_14_20 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=964.71::Y=426.28::Width=32.70::Height=32.70::Size=3.30::Image=Spot10.bmp::Meters=1935.898::Lap=3948::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=255::Hour=06_15_27 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=122.53::Y=366.78::Width=32.70::Height=32.70::Size=8.03::Image=Spot11.bmp::Meters=2362.459::Lap=4818::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=255::Hour=06_17_08 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=122.53::Y=366.98::Width=32.70::Height=32.70::Size=6.13::Image=Spot12.bmp::Meters=2362.950::Lap=4819::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=255::Hour=06_17_08 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=990.71::Y=298.42::Width=32.70::Height=32.70::Size=4.07::Image=Spot13.bmp::Meters=2758.132::Lap=5625::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_18_39 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=194.83::Y=391.01::Width=32.70::Height=32.70::Size=7.22::Image=Spot14.bmp::Meters=2771.860::Lap=5653::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_18_42 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=164.10::Y=411.11::Width=32.70::Height=32.70::Size=3.88::Image=Spot15.bmp::Meters=3062.118::Lap=6245::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_19_46 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=51.22::Y=357.52::Width=32.70::Height=32.70::Size=10.21::Image=Spot16.bmp::Meters=3459.261::Lap=7055::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_12 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=51.22::Y=347.48::Width=32.70::Height=32.70::Size=8.89::Image=Spot17.bmp::Meters=3459.751::Lap=7056::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_13 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
